QID	Peptide	Unmod Peptide	References	Alignment Score	Min E-Value	Query Start	Query End	Num Identical
11513			[('tr_E7ETR0_E7ETR0_HUMAN', 72, 92), ('sp_Q9Y265-2_RUVB1_HUMAN', 132, 152), ('sp_Q9Y265_RUVB1_HUMAN', 132, 152), ('gi_4506753_ref_NP_003698.1_', 132, 152)]	192	3.7e-11	9	28	19
3322			[('tr_B5MDN3_B5MDN3_HUMAN', 373, 382), ('sp_A5YKK6-3_CNOT1_HUMAN', 1517, 1526), ('sp_A5YKK6-2_CNOT1_HUMAN', 1517, 1526), ('gi_388454220_ref_NP_001252541.1_', 1517, 1526), ('sp_A5YKK6_CNOT1_HUMAN', 1522, 1531), ('gi_42716275_ref_NP_057368.3_', 1522, 1531)]	120	0.00029	1	10	10
11517			[('tr_H7BYF7_H7BYF7_HUMAN', 16, 23), ('tr_H7C010_H7C010_HUMAN', 73, 82), ('sp_P33947-2_ERD22_HUMAN', 16, 23), ('gi_154736713_ref_NP_001094073.1_', 16, 23), ('sp_P33947_ERD22_HUMAN', 16, 23), ('gi_5803050_ref_NP_006845.1_', 16, 23), ('tr_D6RF86_D6RF86_HUMAN', 568, 577), ('sp_P55285-2_CADH6_HUMAN', 623, 632)]	96	0.0049	2	9	8
3326			[('##tr_C9JF46_C9JF46_HUMAN', 70, 78), ('##tr_B4DPH6_B4DPH6_HUMAN', 91, 99), ('##sp_P48059_LIMS1_HUMAN', 230, 238), ('##gi_13518026_ref_NP_004978.2_', 230, 238), ('##gi_301601630_ref_NP_001180417.1_', 230, 238), ('##sp_P48059-4_LIMS1_HUMAN', 230, 238), ('##gi_301601605_ref_NP_001180411.1_', 230, 238), ('##sp_P48059-2_LIMS1_HUMAN', 230, 238), ('##gi_301601607_ref_NP_001180412.1_', 230, 238), ('##sp_P48059-5_LIMS1_HUMAN', 230, 238), ('##gi_301601609_ref_NP_001180413.1_', 230, 238), ('##sp_P48059-3_LIMS1_HUMAN', 230, 238), ('##gi_301601611_ref_NP_001180414.1_', 230, 238), ('##tr_Q0P656_Q0P656_HUMAN', 405, 411), ('##tr_Q9H6Y6_Q9H6Y6_HUMAN', 405, 411), ('##tr_K7EIJ6_K7EIJ6_HUMAN', 405, 411), ('##sp_Q5T481_RBM20_HUMAN', 659, 665), ('##gi_197276594_ref_NP_001127835.1_', 659, 665), ('##sp_Q9ULV0_MYO5B_HUMAN', 405, 411), ('##gi_122937345_ref_NP_001073936.1_', 405, 411)]	84	1.9	10	20	9
3327			[('tr_F5GYN4_F5GYN4_HUMAN', 30, 41), ('sp_Q96FW1_OTUB1_HUMAN', 60, 71), ('gi_109148508_ref_NP_060140.2_', 60, 71), ('tr_F5H6Q1_F5H6Q1_HUMAN', 69, 80), ('tr_F5GYJ8_F5GYJ8_HUMAN', 60, 71), ('tr_J3KR44_J3KR44_HUMAN', 97, 108)]	144	5.9e-08	1	12	12
3331			[('tr_F8WF32_F8WF32_HUMAN', 41, 48), ('sp_P04843_RPN1_HUMAN', 41, 48), ('gi_4506675_ref_NP_002941.1_', 41, 48)]	96	0.0074	4	11	8
11524			[('tr_H7C2J9_H7C2J9_HUMAN', 20, 27), ('tr_C9J4J9_C9J4J9_HUMAN', 27, 32), ('tr_H0YJP6_H0YJP6_HUMAN', 42, 49), ('##tr_H3BU09_H3BU09_HUMAN', 69, 74), ('tr_H0Y8L2_H0Y8L2_HUMAN', 98, 105), ('##tr_C9J1G2_C9J1G2_HUMAN', 47, 52), ('##tr_E7ETU0_E7ETU0_HUMAN', 57, 62), ('##tr_C9JX00_C9JX00_HUMAN', 73, 78), ('##tr_Q5SYY1_Q5SYY1_HUMAN', 73, 78), ('##sp_Q8IUQ4-3_SIAH1_HUMAN', 166, 171), ('tr_H7C084_H7C084_HUMAN', 190, 195), ('##sp_Q9Y217-2_MTMR6_HUMAN', 162, 167), ('##tr_C9JRD2_C9JRD2_HUMAN', 153, 158), ('tr_H7C1S2_H7C1S2_HUMAN', 165, 170), ('##tr_C9JXB9_C9JXB9_HUMAN', 169, 174), ('##tr_H0YFT8_H0YFT8_HUMAN', 5, 10), ('sp_P55036-2_PSMD4_HUMAN', 249, 256), ('##sp_P25686-2_DNJB2_HUMAN', 202, 207), ('##gi_88501736_ref_NP_001034639.1_', 202, 207), ('##sp_Q9Y217_MTMR6_HUMAN', 235, 240), ('##gi_134142348_ref_NP_004676.3_', 235, 240), ('##sp_Q8IUQ4_SIAH1_HUMAN', 253, 258), ('##gi_63148618_ref_NP_003022.3_', 253, 258), ('sp_Q687X5-2_STEA4_HUMAN', 237, 242), ('gi_328887951_ref_NP_001192245.1_', 237, 242), ('##sp_Q8IUQ4-2_SIAH1_HUMAN', 253, 258), ('##gi_55749557_ref_NP_001006611.1_', 253, 258), ('tr_H3BTR5_H3BTR5_HUMAN', 94, 99), ('tr_B7Z590_B7Z590_HUMAN', 525, 532), ('gi_333944018_ref_NP_001207418.1_', 525, 532), ('##sp_P25686_DNJB2_HUMAN', 249, 254), ('##gi_27151736_ref_NP_006727.2_', 249, 254), ('##sp_Q9H9J2_RM44_HUMAN', 63, 70), ('##gi_12597661_ref_NP_075066.1_', 63, 70), ('sp_Q9P202-2_WHRN_HUMAN', 115, 120), ('##sp_Q8N9N2-2_ASCC1_HUMAN', 2, 7), ('##gi_311771708_ref_NP_001185727.1_', 2, 7), ('##gi_311771712_ref_NP_001185729.1_', 2, 7), ('sp_P55290_CAD13_HUMAN', 564, 571), ('gi_4502719_ref_NP_001248.1_', 564, 571), ('##tr_Q2KHM8_Q2KHM8_HUMAN', 138, 144), ('##tr_F5H874_F5H874_HUMAN', 2, 7), ('tr_Q5VWC4_Q5VWC4_HUMAN', 249, 256), ('tr_E9PEH6_E9PEH6_HUMAN', 27, 32), ('tr_J3KN62_J3KN62_HUMAN', 611, 618), ('gi_333944015_ref_NP_001207417.1_', 611, 618), ('sp_O43556-3_SGCE_HUMAN', 3, 8), ('tr_C9JR67_C9JR67_HUMAN', 27, 32), ('sp_P01854_IGHE_HUMAN', 55, 62), ('sp_O43556_SGCE_HUMAN', 27, 32), ('gi_10835047_ref_NP_003910.1_', 27, 32), ('gi_150378535_ref_NP_001092870.1_', 27, 32), ('##sp_P49411_EFTU_HUMAN', 309, 315), ('##gi_34147630_ref_NP_003312.3_', 309, 315), ('sp_Q687X5_STEA4_HUMAN', 413, 418), ('gi_333944020_ref_NP_001207419.1_', 310, 317), ('gi_100815815_ref_NP_078912.2_', 413, 418), ('gi_328887949_ref_NP_001192244.1_', 413, 418), ('##gi_333944020_ref_NP_001207419.1_', 365, 372), ('tr_G5E9K6_G5E9K6_HUMAN', 27, 32), ('gi_150378454_ref_NP_001092871.1_', 27, 32), ('##tr_Q5JRG1_Q5JRG1_HUMAN', 311, 318), ('tr_B7Z2R4_B7Z2R4_HUMAN', 27, 32), ('##tr_F5GYW0_F5GYW0_HUMAN', 41, 46), ('##sp_Q86XR8-2_CEP57_HUMAN', 41, 46), ('##gi_344925825_ref_NP_001230706.1_', 41, 46), ('##sp_Q9BVL2-2_NUPL1_HUMAN', 280, 287), ('##sp_Q86XR8-4_CEP57_HUMAN', 38, 43), ('##tr_F5H5F7_F5H5F7_HUMAN', 41, 46), ('##gi_344925823_ref_NP_001230705.1_', 41, 46), ('##sp_Q86XR8_CEP57_HUMAN', 41, 46), ('##gi_45430055_ref_NP_055494.2_', 41, 46), ('##tr_H7BYF2_H7BYF2_HUMAN', 305, 312), ('tr_F5GWY2_F5GWY2_HUMAN', 437, 442), ('##tr_B4DI67_B4DI67_HUMAN', 31, 37), ('##sp_Q9BVL2-3_NUPL1_HUMAN', 394, 401), ('##gi_56788377_ref_NP_001008564.1_', 394, 401), ('tr_E9PBU3_E9PBU3_HUMAN', 495, 500), ('sp_P31939_PUR9_HUMAN', 496, 501), ('gi_20127454_ref_NP_004035.2_', 496, 501), ('##sp_Q9BVL2_NUPL1_HUMAN', 394, 401), ('##gi_30102928_ref_NP_054808.1_', 394, 401), ('sp_Q9Y6R0_NUMBL_HUMAN', 383, 388), ('gi_10863899_ref_NP_004747.1_', 383, 388), ('tr_J3KPR9_J3KPR9_HUMAN', 63, 70), ('sp_P31645_SC6A4_HUMAN', 63, 70), ('gi_4507043_ref_NP_001036.1_', 63, 70), ('sp_Q9ULX5_RN112_HUMAN', 211, 216), ('gi_264681488_ref_NP_009079.2_', 211, 216), ('sp_Q9ULX5-2_RN112_HUMAN', 211, 216), ('sp_A6PW82_CX030_HUMAN', 55, 62), ('gi_167003762_ref_NP_001092313.2_', 55, 62), ('##tr_H3BS51_H3BS51_HUMAN', 162, 167), ('##tr_B7ZL82_B7ZL82_HUMAN', 171, 176), ('##sp_Q9NY59_NSMA2_HUMAN', 179, 184), ('##gi_8923946_ref_NP_061137.1_', 179, 184), ('##tr_B1AQT2_B1AQT2_HUMAN', 602, 608), ('##gi_32967599_ref_NP_001140.2_', 602, 608), ('##tr_B7Z590_B7Z590_HUMAN', 365, 372), ('##gi_333944018_ref_NP_001207418.1_', 365, 372)]	72	5.3	18	25	7
11525			[('sp_P31689_DNJA1_HUMAN', 14, 23), ('gi_4504511_ref_NP_001530.1_', 14, 23)]	120	0.00026	10	19	10
11528			[('sp_O14979-3_HNRDL_HUMAN', 3, 15), ('sp_O14979-2_HNRDL_HUMAN', 3, 15), ('gi_332801090_ref_NP_001193929.1_', 122, 134), ('sp_O14979_HNRDL_HUMAN', 122, 134), ('gi_14110407_ref_NP_112740.1_', 122, 134)]	132	4.2e-05	24	36	12
16940			[('##tr_D6RD27_D6RD27_HUMAN', 239, 248), ('##sp_Q9NP73-4_ALG13_HUMAN', 771, 780), ('##gi_380848749_ref_NP_001244159.1_', 771, 780), ('##gi_380848754_ref_NP_001244163.1_', 771, 780), ('##gi_380848759_ref_NP_001244166.1_', 771, 780), ('##sp_Q9NP73-3_ALG13_HUMAN', 850, 859), ('##gi_380848751_ref_NP_001244160.1_', 850, 859), ('##sp_Q9NP73_ALG13_HUMAN', 850, 859), ('##gi_153791910_ref_NP_001093392.1_', 850, 859)]	84	5.1	15	25	9
3339			[('tr_J3QSY7_J3QSY7_HUMAN', 178, 186), ('sp_Q96L93-5_KI16B_HUMAN', 796, 804), ('gi_315434259_ref_NP_001186794.1_', 952, 960), ('sp_Q96L93-6_KI16B_HUMAN', 952, 960), ('sp_Q96L93-4_KI16B_HUMAN', 952, 960), ('sp_Q96L93_KI16B_HUMAN', 952, 960), ('gi_41327691_ref_NP_078980.3_', 952, 960), ('sp_Q96L93-2_KI16B_HUMAN', 952, 960), ('gi_315434261_ref_NP_001186795.1_', 952, 960)]	96	0.23	1	10	9
11532			[('sp_P31689_DNJA1_HUMAN', 6, 14), ('gi_4504511_ref_NP_001530.1_', 6, 14)]	108	0.0013	3	11	9
11534			[('##tr_F6RTM7_F6RTM7_HUMAN', 40, 48), ('##tr_K7EK75_K7EK75_HUMAN', 80, 88), ('##sp_O60499-2_STX10_HUMAN', 167, 175), ('##gi_410110904_ref_NP_001258540.1_', 167, 175), ('##gi_410110900_ref_NP_001258538.1_', 187, 195), ('##tr_K7EIY4_K7EIY4_HUMAN', 210, 218), ('##tr_Q5U8S2_Q5U8S2_HUMAN', 213, 221), ('##gi_410110902_ref_NP_001258539.1_', 213, 221), ('##sp_O60499_STX10_HUMAN', 216, 224), ('##gi_4507285_ref_NP_003756.1_', 216, 224)]	84	0.21	2	9	8
11535			[('sp_P13639_EF2_HUMAN', 572, 581), ('gi_4503483_ref_NP_001952.1_', 572, 581)]	96	0.0039	1	10	9
11536			[('sp_O14979-3_HNRDL_HUMAN', 7, 18), ('sp_O14979-2_HNRDL_HUMAN', 7, 18), ('gi_332801090_ref_NP_001193929.1_', 126, 137), ('sp_O14979_HNRDL_HUMAN', 126, 137), ('gi_14110407_ref_NP_112740.1_', 126, 137)]	144	3.9e-07	26	37	12
19206			[('sp_P09382_LEG1_HUMAN', 54, 64), ('gi_4504981_ref_NP_002296.1_', 54, 64)]	132	1.4e-09	16	26	11
3347			[('tr_H0Y7B8_H0Y7B8_HUMAN', 122, 136), ('tr_B7ZC06_B7ZC06_HUMAN', 216, 230), ('sp_Q08379_GOGA2_HUMAN', 189, 203), ('gi_194097392_ref_NP_004477.3_', 189, 203)]	180	1.6e-11	1	15	15
3350			[('tr_Q5T9W8_Q5T9W8_HUMAN', 54, 64), ('tr_G3V2J8_G3V2J8_HUMAN', 59, 69), ('sp_Q58FF8_H90B2_HUMAN', 54, 64), ('sp_Q58FF6_H90B4_HUMAN', 30, 40), ('sp_Q58FF7_H90B3_HUMAN', 54, 64), ('gi_431822406_ref_NP_001258900.1_', 54, 64), ('gi_431822408_ref_NP_001258901.1_', 54, 64), ('sp_P08238_HS90B_HUMAN', 54, 64), ('gi_431822401_ref_NP_001258898.1_', 54, 64), ('gi_20149594_ref_NP_031381.2_', 54, 64), ('gi_431822403_ref_NP_001258899.1_', 54, 64), ('sp_P07900_HS90A_HUMAN', 59, 69), ('gi_154146191_ref_NP_005339.3_', 59, 69), ('sp_P07900-2_HS90A_HUMAN', 181, 191), ('gi_153792590_ref_NP_001017963.2_', 181, 191)]	96	0.0098	1	11	10
11543			[('##tr_D6R9Z6_D6R9Z6_HUMAN', 24, 29), ('##tr_F2Z2R1_F2Z2R1_HUMAN', 4, 11), ('##tr_E7ES73_E7ES73_HUMAN', 96, 102), ('##sp_Q9Y3V2-3_RWDD3_HUMAN', 101, 107), ('##sp_Q9Y3V2-2_RWDD3_HUMAN', 96, 102), ('##gi_189458889_ref_NP_001121614.1_', 96, 102), ('##gi_314122347_ref_NP_001186611.1_', 101, 107), ('##sp_Q4G0J3-2_LARP7_HUMAN', 119, 124), ('##sp_Q9Y3V2_RWDD3_HUMAN', 168, 174), ('##gi_153252154_ref_NP_056300.2_', 168, 174), ('##sp_A8MUZ8_Z705G_HUMAN', 140, 145), ('##gi_256574832_ref_NP_001157929.1_', 140, 145), ('tr_I3L323_I3L323_HUMAN', 67, 74), ('##tr_H0YA82_H0YA82_HUMAN', 77, 82), ('sp_Q92830-2_KAT2A_HUMAN', 65, 70), ('##sp_Q4G0J3_LARP7_HUMAN', 119, 124), ('##gi_109809741_ref_NP_057732.2_', 119, 124), ('##gi_109809739_ref_NP_056269.1_', 119, 124), ('##gi_388490152_ref_NP_001253968.1_', 119, 124), ('tr_I3L2K5_I3L2K5_HUMAN', 239, 246), ('sp_Q5MIZ7-3_P4R3B_HUMAN', 125, 132), ('gi_39930397_ref_NP_065196.1_', 125, 132), ('sp_Q5MIZ7-2_P4R3B_HUMAN', 125, 132), ('sp_Q92830_KAT2A_HUMAN', 475, 480), ('gi_153791535_ref_NP_066564.2_', 475, 480), ('sp_Q5MIZ7_P4R3B_HUMAN', 125, 132), ('gi_171916095_ref_NP_001116436.1_', 125, 132), ('sp_Q8IWR0_Z3H7A_HUMAN', 239, 246), ('gi_27414497_ref_NP_054872.2_', 239, 246), ('##sp_A7MBM2_DISP2_HUMAN', 435, 442), ('##gi_25121980_ref_NP_277045.1_', 435, 442), ('##sp_Q9UHV7_MED13_HUMAN', 124, 129), ('##gi_102468717_ref_NP_005112.2_', 124, 129)]	72	6.3	5	10	6
3353			[('tr_H0YNE3_H0YNE3_HUMAN', 6, 13), ('sp_Q06323_PSME1_HUMAN', 6, 13), ('gi_5453990_ref_NP_006254.1_', 6, 13), ('tr_A6NJG9_A6NJG9_HUMAN', 6, 13), ('gi_30581141_ref_NP_788955.1_', 6, 13)]	96	0.04	5	12	8
11546			[('##tr_H0YCE2_H0YCE2_HUMAN', 33, 40), ('##tr_Q5TB25_Q5TB25_HUMAN', 33, 40), ('##tr_Q5TB19_Q5TB19_HUMAN', 32, 39), ('##tr_Q5TB20_Q5TB20_HUMAN', 33, 40), ('##gi_210147571_ref_NP_001129951.1_', 33, 40), ('##sp_Q9BTT0-2_AN32E_HUMAN', 33, 40), ('##gi_210147569_ref_NP_001129950.1_', 33, 40), ('##sp_Q9BTT0_AN32E_HUMAN', 33, 40), ('##gi_13569879_ref_NP_112182.1_', 33, 40), ('##sp_A6ND36-2_FA83G_HUMAN', 138, 145), ('##sp_A6ND36_FA83G_HUMAN', 236, 243), ('##gi_115392150_ref_NP_001035088.2_', 236, 243)]	96	0.024	17	24	8
3356			[('sp_Q01105_SET_HUMAN', 23, 35), ('gi_170763500_ref_NP_001116293.1_', 23, 35)]	108	0.015	9	20	11
11550			[('tr_D6R941_D6R941_HUMAN', 23, 38), ('sp_P82909_RT36_HUMAN', 88, 103), ('gi_15150811_ref_NP_150597.1_', 88, 103)]	192	1.7e-13	1	16	16
11551			[('tr_C9JFI0_C9JFI0_HUMAN', 55, 62), ('tr_C9JRR6_C9JRR6_HUMAN', 55, 62), ('##tr_E9PH18_E9PH18_HUMAN', 32, 39), ('##tr_B4DN73_B4DN73_HUMAN', 32, 39), ('##sp_O75190-3_DNJB6_HUMAN', 31, 38), ('##sp_O75190_DNJB6_HUMAN', 32, 39), ('##gi_17388799_ref_NP_490647.1_', 32, 39), ('sp_Q99501-3_GA2L1_HUMAN', 55, 62), ('sp_Q99501-2_GA2L1_HUMAN', 55, 62), ('gi_23065529_ref_NP_689423.1_', 55, 62), ('tr_B5MCR7_B5MCR7_HUMAN', 55, 62), ('##sp_P48454-2_PP2BC_HUMAN', 74, 84), ('##gi_345842414_ref_NP_001230904.1_', 74, 84), ('##sp_P48454_PP2BC_HUMAN', 84, 94), ('##gi_21361290_ref_NP_005596.2_', 84, 94), ('##sp_P48454-3_PP2BC_HUMAN', 84, 94), ('##gi_345842412_ref_NP_001230903.1_', 84, 94), ('tr_E7EQM6_E7EQM6_HUMAN', 55, 62), ('sp_Q99501_GA2L1_HUMAN', 55, 62), ('gi_19923777_ref_NP_006469.2_', 55, 62), ('gi_23065526_ref_NP_689422.1_', 55, 62), ('tr_F5GWV9_F5GWV9_HUMAN', 3867, 3879), ('gi_256600257_ref_NP_001157934.1_', 3867, 3879), ('sp_Q9UKN1_MUC12_HUMAN', 4010, 4022)]	84	1.2	16	24	8
17911			[('sp_P49588_SYAC_HUMAN', 944, 955), ('gi_109148542_ref_NP_001596.2_', 944, 955)]	144	2e-06	1	12	12
12848			[('tr_E5RIF0_E5RIF0_HUMAN', 109, 121), ('tr_E5RH29_E5RH29_HUMAN', 147, 159), ('gi_151101151_ref_NP_001092694.1_', 147, 159), ('sp_Q96LB3-2_IFT74_HUMAN', 147, 159), ('sp_Q96LB3_IFT74_HUMAN', 147, 159), ('gi_151101140_ref_NP_001092693.1_', 147, 159), ('gi_151105229_ref_NP_079379.2_', 147, 159), ('gi_151105223_ref_NP_001092692.1_', 147, 159)]	156	2.4e-09	3	15	13
11555			[('tr_J3QSE0_J3QSE0_HUMAN', 28, 38), ('tr_J3QLH6_J3QLH6_HUMAN', 20, 30), ('tr_J3KRP2_J3KRP2_HUMAN', 20, 30), ('tr_J3QSA9_J3QSA9_HUMAN', 20, 30), ('tr_J3QQM1_J3QQM1_HUMAN', 28, 38), ('sp_P62195-2_PRS8_HUMAN', 20, 30), ('gi_312596881_ref_NP_001186092.1_', 20, 30), ('sp_P62195_PRS8_HUMAN', 28, 38), ('gi_24497435_ref_NP_002796.4_', 28, 38)]	132	1.4e-06	1	11	11
11556			[('##tr_H7C180_H7C180_HUMAN', 33, 39), ('sp_Q9NZD1-2_GPC5D_HUMAN', 146, 153), ('sp_Q8NGQ4_O10Q1_HUMAN', 136, 141), ('gi_52218848_ref_NP_001004471.1_', 136, 141), ('sp_Q9NZD1-3_GPC5D_HUMAN', 146, 153), ('sp_Q9NZD1_GPC5D_HUMAN', 146, 153), ('gi_8923705_ref_NP_061124.1_', 146, 153), ('sp_Q8IY18_SMC5_HUMAN', 887, 894), ('gi_155722985_ref_NP_055925.2_', 887, 894), ('tr_B4DJ10_B4DJ10_HUMAN', 208, 213), ('tr_F5H698_F5H698_HUMAN', 216, 221), ('tr_B4DER1_B4DER1_HUMAN', 235, 240), ('sp_Q9P2J5_SYLC_HUMAN', 262, 267), ('gi_108773810_ref_NP_064502.9_', 262, 267), ('##tr_H7BZ52_H7BZ52_HUMAN', 1197, 1203), ('##sp_A7E2V4-5_ZSWM8_HUMAN', 1447, 1453), ('##sp_A7E2V4_ZSWM8_HUMAN', 1455, 1461), ('##gi_335334962_ref_NP_001229416.1_', 1455, 1461), ('##sp_A7E2V4-3_ZSWM8_HUMAN', 1459, 1465), ('##sp_A7E2V4-4_ZSWM8_HUMAN', 1460, 1466), ('##gi_122114658_ref_NP_055852.2_', 1460, 1466), ('##sp_A7E2V4-2_ZSWM8_HUMAN', 1510, 1516), ('##gi_335334964_ref_NP_001229417.1_', 1510, 1516), ('sp_Q8WZ42-6_TITIN_HUMAN', 3292, 3297), ('gi_110349721_ref_NP_596870.2_', 3292, 3297), ('sp_Q8WZ42-3_TITIN_HUMAN', 3246, 3251), ('gi_291045223_ref_NP_003310.4_', 3246, 3251), ('sp_Q8WZ42-10_TITIN_HUMAN', 3246, 3251), ('gi_291045228_ref_NP_597676.3_', 3246, 3251), ('sp_Q8WZ42-9_TITIN_HUMAN', 3246, 3251), ('gi_291045230_ref_NP_597681.3_', 3246, 3251), ('sp_Q8WZ42-5_TITIN_HUMAN', 3292, 3297), ('sp_Q8WZ42-11_TITIN_HUMAN', 3292, 3297), ('gi_291045225_ref_NP_596869.4_', 3292, 3297), ('sp_Q8WZ42-4_TITIN_HUMAN', 3292, 3297), ('sp_Q8WZ42-7_TITIN_HUMAN', 3292, 3297), ('sp_Q8WZ42-2_TITIN_HUMAN', 3200, 3205), ('sp_Q8WZ42_TITIN_HUMAN', 3292, 3297), ('gi_378925625_ref_NP_001243779.1_', 3292, 3297), ('sp_Q8WZ42-8_TITIN_HUMAN', 3292, 3297), ('sp_Q8WZ42-12_TITIN_HUMAN', 3292, 3297), ('gi_388998877_ref_NP_001254479.1_', 3292, 3297)]	72	8.6	3	10	7
19226			[('##sp_P11487_FGF3_HUMAN', 131, 136), ('##gi_4885233_ref_NP_005238.1_', 131, 136), ('tr_F6QB42_F6QB42_HUMAN', 88, 93), ('tr_H7C484_H7C484_HUMAN', 109, 114), ('sp_Q9H2C2_ARV1_HUMAN', 112, 117), ('gi_12232479_ref_NP_073623.1_', 112, 117), ('tr_F5H1G8_F5H1G8_HUMAN', 135, 140), ('tr_H7C0E7_H7C0E7_HUMAN', 99, 104), ('sp_Q14344_GNA13_HUMAN', 230, 235), ('gi_24111250_ref_NP_006563.2_', 230, 235), ('sp_Q9HCP0_KC1G1_HUMAN', 409, 414), ('gi_98986450_ref_NP_071331.2_', 409, 414), ('sp_Q13705_AVR2B_HUMAN', 158, 163), ('gi_116734708_ref_NP_001097.2_', 158, 163), ('##sp_Q8IVT2_CS021_HUMAN', 4, 9), ('##gi_27735067_ref_NP_775752.1_', 4, 9), ('##sp_Q9NQ36-3_SCUB2_HUMAN', 58, 63), ('##gi_283046665_ref_NP_001164161.1_', 58, 63), ('##sp_Q9NQ36-2_SCUB2_HUMAN', 58, 63), ('##gi_283046663_ref_NP_066025.2_', 58, 63), ('##sp_Q8IWY4_SCUB1_HUMAN', 58, 63), ('##gi_120587029_ref_NP_766638.2_', 58, 63), ('##sp_Q8IX30_SCUB3_HUMAN', 57, 62), ('##gi_31377568_ref_NP_689966.2_', 57, 62), ('##sp_Q9NQ36_SCUB2_HUMAN', 58, 63), ('##sp_Q8IX30-2_SCUB3_HUMAN', 57, 62), ('##tr_E7EQD6_E7EQD6_HUMAN', 58, 63)]	72	13.0	12	17	6
11558			[('sp_Q14566_MCM6_HUMAN', 109, 122), ('gi_7427519_ref_NP_005906.2_', 109, 122)]	132	2.7e-06	1	14	13
3367			[('sp_Q9NXE8-2_CWC25_HUMAN', 45, 53), ('tr_B4DJK2_B4DJK2_HUMAN', 329, 337), ('sp_Q9NXE8_CWC25_HUMAN', 392, 400), ('gi_8923271_ref_NP_060218.1_', 392, 400)]	108	0.0026	1	9	9
15580			[('##tr_D6RDX1_D6RDX1_HUMAN', 15, 21), ('##tr_D6RBV2_D6RBV2_HUMAN', 45, 51), ('##sp_Q12907_LMAN2_HUMAN', 76, 82), ('##gi_5803023_ref_NP_006807.1_', 76, 82)]	84	1.7	12	18	7
11562			[('tr_F8WF81_F8WF81_HUMAN', 92, 100), ('tr_F5GZ34_F5GZ34_HUMAN', 152, 160), ('tr_B4DG00_B4DG00_HUMAN', 416, 424), ('sp_Q16531_DDB1_HUMAN', 1105, 1113), ('gi_148529014_ref_NP_001914.3_', 1105, 1113)]	108	0.0014	1	9	9
10119			[('tr_C9J469_C9J469_HUMAN', 5, 16), ('tr_C9J931_C9J931_HUMAN', 5, 16), ('sp_Q15382_RHEB_HUMAN', 110, 121), ('gi_5032041_ref_NP_005605.1_', 110, 121)]	144	1.9e-09	1	12	12
